Room,CoffeeShop,in-coffeeshop-which-is-your-starting-place
Room,Salon,in-the-Salon
Room,Storage,in-the-storage
Room,Hallway1,in-the-first-Hallway
Room,Hallway2,in-the-second-Hallway
Room,Restaurant,in-the-Restaurant
Room,Balcony,in-the-balcony
Room,Groceries,in-the-groceries
Room,RestRoom,in-the-rest-room
Room,ExitDoor,in-the-exit-door
Exit,CoffeeShop,North,Hallway1
Exit,Hallway1,South,CoffeeShop
Exit,Hallway1,West,Salon
Exit,Salon,East,Hallway1
Exit,Salon,West,Storage
Exit,Storage,East,Salon
Exit,Hallway1,East,Restaurant
Exit,Restaurant,West,Hallway1
Exit,Restaurant,East,Balcony
Exit,Balcony,West,Restaurant
Exit,Hallway1,North,Hallway2
Exit,Hallway2,South,Hallway1
Exit,Hallway2,West,Groceries
Exit,Groceries,East,Hallway2
Exit,Hallway2,East,RestRoom
Exit,RestRoom,West,Hallway2
Exit,Hallway2,North,ExitDoor
Exit,ExitDoor,South,Hallway2
